1,67,1,67,1,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheet1,Codominant Genotypic Distance,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTB1,LTB2,LTB3,LTB4,LTB5,LTB6,LTB7,LTB8,LTB9,LTB10,LTB11,LTB12,LTB13,LTB14,LTB15,LTB16,LTB17,LTB18,LTB19,LTB20,LTB21,LTB22,LTB23,LTB24,LTB25,LTB26,LTB27,LTB28,LTB29,LTB30,LTB31,LTB32,LTB33,LTB34,LTB35,LTB36,LTB37,LTB38,LTB39,LTB40,LTB41,LTB42,LTB43,LTB44,LTB45,LTB46,LTB47,LTB48,LTB49,LTB50,LTB51,LTB52,LTB53,LTB54,LTB55,LTB56,LTB57,LTB58,LTB59,LTB60,LTB61,LTB62,LTB63,LTB64,LTB65,LTB66,LTB67,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB1
14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB2
17,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB3
13,16,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB4
12,17,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB5
13,15,14,10,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB6
31,30,29,27,25,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB7
15,16,12,11,8,9,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB8
15,19,15,13,9,8,29,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB9
26,23,25,23,22,21,26,20,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB10
15,16,15,13,8,9,29,13,8,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB11
14,14,14,10,9,9,28,12,11,24,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB12
15,25,14,16,12,19,32,17,18,31,18,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB13
18,20,15,13,8,11,25,13,12,22,14,13,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB14
7,20,19,15,14,15,30,19,17,28,15,16,21,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB15
14,25,19,19,11,17,34,19,15,29,16,20,7,18,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB16
11,19,18,13,13,11,29,15,16,24,16,14,16,16,15,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB17
16,21,15,13,12,12,31,13,15,26,11,12,22,16,14,20,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB18
20,19,16,10,7,8,29,12,12,24,12,13,19,10,18,15,17,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB19
20,22,15,17,15,15,35,16,11,29,15,14,20,24,26,23,20,19,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB20
14,22,17,13,11,11,30,17,11,27,13,14,18,13,12,17,11,13,12,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB21
15,21,10,15,6,10,29,13,13,27,13,12,20,12,16,17,17,13,12,20,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB22
11,14,16,11,11,10,30,14,13,22,12,12,15,15,14,15,12,17,10,20,9,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB23
11,25,14,16,11,15,32,15,15,26,15,18,11,19,16,13,13,21,23,18,16,19,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB24
15,15,17,13,9,11,20,11,13,20,11,11,19,11,18,18,14,13,12,22,14,12,13,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB25
19,16,19,18,16,17,33,15,21,26,15,16,23,20,21,23,18,12,21,16,22,22,19,21,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB26
16,19,20,17,12,12,27,12,11,22,11,13,25,15,14,20,19,14,15,18,14,16,17,19,11,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB27
16,20,13,12,7,14,29,17,15,26,11,13,16,12,16,14,18,13,11,23,16,9,13,21,12,19,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB28
14,14,14,12,7,6,25,9,10,19,9,9,20,8,13,16,12,11,10,17,13,13,13,17,10,12,8,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB29
17,17,13,13,11,11,26,10,14,21,11,14,24,14,13,23,19,12,10,21,14,14,13,21,13,18,10,14,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB30
21,24,13,16,11,18,29,11,19,27,19,15,18,17,23,19,20,15,17,18,20,13,21,22,13,17,15,10,16,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB31
19,21,14,14,10,13,28,14,11,27,8,12,15,14,17,16,17,9,13,18,12,15,16,18,12,18,14,14,12,13,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB32
14,12,14,11,8,8,26,12,10,20,10,11,23,8,14,19,15,15,8,22,14,13,11,18,11,18,13,13,7,10,20,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB33
12,17,19,19,14,17,35,13,19,30,16,19,16,20,18,17,14,17,22,22,16,18,16,16,14,18,20,21,15,21,19,16,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB34
13,21,16,12,11,13,32,14,15,26,14,17,17,14,11,17,12,12,15,21,8,17,12,13,17,18,15,16,13,13,19,13,14,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB35
8,18,15,8,8,9,30,11,9,24,9,12,11,14,11,11,8,13,12,15,9,14,8,10,12,18,15,13,11,15,16,13,12,10,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB36
18,23,17,15,13,14,26,17,13,29,14,16,17,16,13,20,21,14,15,19,11,16,17,20,16,19,12,18,13,15,20,9,17,22,15,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB37
17,20,13,5,8,11,27,12,13,22,11,12,20,11,15,20,14,10,8,19,12,15,10,17,12,15,14,11,11,10,16,12,10,21,11,10,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB38
17,20,15,12,8,10,28,14,13,26,8,13,14,15,20,16,18,18,15,18,19,18,17,12,13,19,18,13,12,17,19,13,12,19,19,11,19,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB39
16,18,8,7,6,8,29,8,10,23,11,10,16,13,17,18,16,13,7,15,12,11,8,15,13,18,15,13,11,10,15,11,9,19,13,10,12,6,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB40
15,15,16,15,12,17,22,12,19,23,12,14,19,18,16,21,18,13,17,23,20,16,18,21,9,17,14,12,14,11,13,13,14,15,18,16,18,15,14,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,LTB41
17,15,19,9,12,11,27,14,13,25,12,10,23,12,15,22,17,12,11,23,13,16,15,24,12,18,15,15,10,12,21,10,10,21,16,13,13,11,15,12,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,LTB42
8,20,18,15,16,17,32,17,17,28,14,18,17,19,8,18,12,12,23,21,12,21,16,13,19,16,17,18,14,16,22,17,18,14,10,10,16,16,18,19,16,17,0,,,,,,,,,,,,,,,,,,,,,,,,,LTB43
15,19,15,15,9,9,26,12,10,25,12,12,15,13,17,17,16,18,17,15,16,14,16,13,12,18,15,18,10,18,19,12,16,17,18,12,12,17,12,13,19,16,18,0,,,,,,,,,,,,,,,,,,,,,,,,LTB44
13,18,20,15,11,11,31,15,14,24,12,14,20,10,11,14,11,15,12,22,10,16,12,16,14,16,14,16,8,14,20,16,9,13,10,8,19,14,16,16,18,13,13,16,0,,,,,,,,,,,,,,,,,,,,,,,LTB45
19,16,21,15,12,11,27,15,10,25,8,11,20,10,17,19,19,16,10,20,14,16,13,21,11,15,14,14,11,13,20,12,10,20,17,13,14,13,13,14,15,11,18,12,10,0,,,,,,,,,,,,,,,,,,,,,,LTB46
17,19,15,15,10,13,23,11,15,19,15,15,18,17,19,18,17,16,17,17,17,14,16,15,11,14,12,14,13,13,10,16,18,21,17,15,16,14,17,14,14,19,19,12,19,17,0,,,,,,,,,,,,,,,,,,,,,LTB47
16,15,15,12,8,9,28,13,9,22,10,11,20,7,17,16,17,16,8,18,14,12,11,20,10,17,14,12,8,13,17,13,6,17,18,10,16,10,13,10,17,11,20,11,8,8,16,0,,,,,,,,,,,,,,,,,,,,LTB48
11,17,16,13,8,8,28,7,12,24,9,12,18,16,14,16,14,10,15,16,16,13,16,12,12,12,8,16,9,11,15,14,14,15,13,11,14,13,13,12,14,14,12,11,14,14,11,15,0,,,,,,,,,,,,,,,,,,,LTB49
20,18,15,13,10,12,27,10,15,23,14,15,23,17,18,20,18,11,11,17,14,13,16,23,12,13,13,15,12,10,13,14,13,18,13,15,15,11,19,10,12,13,19,19,15,16,13,15,12,0,,,,,,,,,,,,,,,,,,LTB50
18,20,24,17,14,13,30,17,17,27,15,17,24,16,18,19,14,10,14,22,15,15,18,24,13,14,14,14,14,14,17,16,17,22,15,16,17,14,21,18,17,15,19,19,16,15,13,17,11,11,0,,,,,,,,,,,,,,,,,LTB51
11,14,13,11,7,10,28,9,11,23,7,10,16,14,14,14,14,11,13,17,16,12,11,12,10,12,11,11,9,13,15,10,9,13,14,10,13,9,11,8,11,12,14,12,14,13,13,10,7,12,15,0,,,,,,,,,,,,,,,,LTB52
18,19,11,12,7,13,26,15,11,23,11,10,17,11,20,16,14,15,14,13,14,11,14,15,12,14,15,8,11,16,11,14,12,21,17,13,18,11,12,12,15,16,19,14,14,12,12,11,15,14,16,11,0,,,,,,,,,,,,,,,LTB53
12,17,16,9,7,12,27,13,15,25,11,10,21,12,15,19,15,14,14,21,16,12,12,15,11,17,15,11,12,16,18,15,11,20,17,12,17,9,12,11,14,13,18,14,16,16,15,12,11,16,16,6,10,0,,,,,,,,,,,,,,LTB54
13,16,15,13,9,7,28,15,8,23,9,12,22,11,13,18,17,15,9,21,13,11,11,18,11,22,14,12,10,11,21,14,6,20,18,11,16,12,11,11,16,12,18,12,13,10,17,6,14,17,16,11,14,12,0,,,,,,,,,,,,,LTB55
14,15,15,12,9,10,27,10,13,23,10,11,21,14,16,17,11,10,13,17,16,12,16,18,12,15,14,13,9,13,16,14,10,16,14,12,18,12,14,12,12,12,17,17,13,16,16,14,9,9,11,9,12,11,14,0,,,,,,,,,,,,LTB56
17,17,18,15,10,12,25,9,15,21,13,14,21,15,19,17,16,15,13,21,20,15,18,19,10,18,12,15,11,14,16,17,12,18,16,15,21,15,15,14,10,15,21,18,15,16,16,16,10,8,14,11,15,14,16,5,0,,,,,,,,,,,LTB57
13,16,20,14,8,9,26,11,13,21,12,14,20,11,17,15,16,16,10,22,15,12,12,18,9,18,9,11,11,13,15,17,12,19,16,13,17,13,15,14,13,16,20,14,14,13,12,11,9,14,11,11,14,10,10,12,9,0,,,,,,,,,,LTB58
18,21,21,13,9,8,27,16,9,26,9,12,21,10,15,19,18,16,9,22,11,14,13,20,11,22,13,14,10,14,23,10,12,23,17,12,12,12,12,13,18,10,21,9,13,7,16,9,14,18,15,14,14,12,7,16,17,10,0,,,,,,,,,LTB59
18,21,22,17,16,21,26,21,20,29,18,18,20,18,17,20,18,18,21,28,22,21,25,20,16,25,19,19,18,20,25,14,18,24,20,20,17,19,19,22,16,15,20,18,23,19,18,22,18,23,17,17,19,17,20,15,18,20,18,0,,,,,,,,LTB60
10,22,18,18,15,17,31,18,17,27,17,18,19,17,7,16,18,16,19,26,12,15,12,14,20,20,15,17,16,15,22,17,16,21,12,14,12,16,23,15,20,17,11,18,13,18,18,18,14,18,20,12,19,15,17,18,21,17,19,22,0,,,,,,,LTB61
12,15,14,13,8,6,27,11,9,21,8,10,22,9,13,17,12,11,11,17,12,9,13,16,10,16,10,15,6,11,19,13,7,16,15,10,14,12,14,11,16,11,16,11,8,10,15,7,9,14,13,10,12,12,8,8,12,10,10,18,15,0,,,,,,LTB62
17,17,16,9,10,14,30,16,16,28,14,8,24,13,16,23,21,16,14,18,14,15,15,21,16,17,14,15,13,15,17,14,13,24,16,16,13,11,17,11,18,9,20,17,16,15,17,14,16,14,19,12,12,9,17,16,19,16,15,19,15,14,0,,,,,LTB63
11,14,15,12,8,7,29,10,7,24,8,11,15,15,17,15,14,16,12,15,15,13,11,13,10,19,13,15,11,14,19,12,10,14,17,9,15,13,11,9,14,14,17,9,16,11,14,9,9,16,16,6,14,12,7,12,13,10,10,18,19,9,18,0,,,,LTB64
13,14,17,10,9,9,25,13,10,22,8,8,21,10,14,19,11,11,11,17,11,14,12,18,8,14,10,13,6,13,18,11,8,16,16,10,13,9,11,12,12,9,16,12,11,10,15,8,12,15,13,9,10,8,8,9,13,10,7,15,19,7,12,9,0,,,LTB65
13,19,15,10,10,9,28,14,12,23,13,10,22,12,14,20,11,12,12,17,15,13,13,15,13,16,15,12,12,13,16,17,9,23,17,11,18,8,13,11,15,14,16,16,12,12,15,10,13,16,14,10,10,10,9,12,15,12,13,19,16,10,14,11,9,0,,LTB66
8,15,9,8,6,9,28,8,12,23,10,10,17,14,9,16,13,8,13,16,16,10,14,13,13,13,12,10,8,10,13,13,9,15,12,9,14,9,12,8,11,11,10,13,13,16,13,12,6,10,14,5,12,8,11,7,10,13,16,16,11,9,12,10,11,9,0,LTB67