14,65,1,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODE,SITE,CMJ-25,,CMJ-26,,CMJ-43,,CMJ-65,,CMJ-68,,CMJ-77,,CMJ-116,,CMJ-123,,CMJ-134,,CMJ-206,,CMJ-214,,CMJ-230,,CMJ-231,,CMJ-241,,,X,Y
LTC1,LTC,274,274,403,403,317,335,370,358,357,357,342,342,232,211,217,226,220,223,400,403,345,372,164,179,392,392,350,353,,2,22
LTC2,LTC,274,276,401,405,317,335,370,358,357,357,330,342,217,211,217,229,214,223,400,400,345,372,164,179,392,392,350,359,,20,12
LTC3,LTC,274,274,403,407,335,335,370,370,357,357,342,342,214,211,217,235,217,217,409,409,345,372,164,164,386,392,350,350,,5,11
LTC4,LTC,274,274,401,405,335,335,370,358,351,357,339,342,226,232,217,235,214,220,400,400,345,372,164,176,392,392,350,359,,37,10
LTC5,LTC,274,278,405,405,335,335,0,0,357,357,342,345,232,211,214,226,223,223,400,409,372,378,176,179,392,392,359,359,,10,16
LTC6,LTC,274,274,407,407,335,338,370,358,351,357,342,342,217,211,217,226,214,214,409,409,345,372,176,176,389,392,353,359,,18,20
LTC7,LTC,274,274,405,405,335,335,370,358,351,357,342,342,217,226,217,229,223,223,400,403,345,372,164,179,392,392,350,350,,17,27
LTC8,LTC,274,274,405,405,335,338,370,358,357,357,330,342,217,232,217,253,223,223,400,409,345,372,164,179,386,392,350,350,,21,27
LTC9,LTC,276,278,405,405,335,335,370,358,357,357,342,342,226,232,214,217,214,223,409,409,345,372,164,179,392,395,350,350,,13,12
LTC10,LTC,274,274,407,407,335,335,370,358,351,357,342,342,232,211,220,226,214,220,406,409,345,372,164,176,383,392,350,359,,4,28
LTC11,LTC,274,274,405,405,335,335,370,358,351,357,342,342,217,211,214,229,223,223,400,409,345,372,176,179,392,392,350,353,,31,22
LTC12,LTC,0,0,403,405,335,338,370,358,357,357,342,342,0,0,226,226,214,220,403,409,345,372,176,179,392,398,350,365,,27,15
LTC13,LTC,0,0,405,405,335,335,370,376,357,363,342,342,0,0,217,217,214,223,400,406,345,372,164,179,392,392,350,350,,40,7
LTC14,LTC,274,274,403,405,335,335,370,358,357,363,342,342,229,211,226,229,211,220,400,403,345,372,164,179,386,392,350,353,,16,5
LTC15,LTC,274,274,403,405,335,335,370,358,357,363,342,342,229,211,226,229,211,220,400,403,345,345,164,179,392,392,350,350,,16,5
LTC16,LTC,274,274,403,405,335,335,370,358,357,363,342,342,229,211,226,229,211,220,415,418,360,384,164,179,392,392,350,350,,16,5
LTC17,LTC,0,0,403,405,335,335,370,358,357,363,342,342,232,211,226,229,214,223,400,403,360,384,164,179,392,392,350,350,,11,20
LTC18,LTC,274,278,401,403,335,338,370,358,357,357,342,342,0,0,217,229,214,223,400,403,345,372,164,176,392,392,350,359,,12,3
LTC19,LTC,274,274,403,405,335,338,370,358,351,357,342,342,0,0,226,253,220,223,403,409,345,372,164,167,392,398,350,350,,46,12
LTC20,LTC,0,0,405,407,335,335,370,358,345,357,342,342,217,211,226,229,214,220,400,409,345,372,176,179,383,392,350,353,,25,8
LTC21,LTC,272,278,405,407,335,335,370,358,357,357,342,342,217,211,226,229,214,214,403,409,345,372,164,176,383,392,350,359,,40,24
LTC22,LTC,272,276,403,407,317,335,370,358,351,357,342,342,0,0,214,217,220,223,403,409,345,372,176,176,392,395,350,350,,33,20
LTC23,LTC,274,276,403,403,335,335,370,358,357,357,342,342,232,211,226,226,220,223,400,400,345,372,164,179,392,392,350,350,,37,18
LTC24,LTC,272,274,401,403,335,335,370,358,348,357,342,342,217,211,214,217,220,223,403,403,345,372,164,179,386,392,350,359,,30,10
LTC25,LTC,274,274,405,405,335,335,370,358,351,357,342,342,217,211,217,226,214,220,409,409,345,372,164,176,392,398,350,359,,2,3
LTC26,LTC,274,276,405,407,335,335,370,358,357,357,342,342,217,211,220,220,214,223,406,409,345,372,164,176,389,398,350,350,,42,21
LTC27,LTC,274,274,403,405,335,335,370,358,357,357,342,342,217,226,217,232,214,223,403,409,372,384,164,164,377,392,350,350,,50,17
LTC28,LTC,274,274,405,405,335,335,370,376,363,363,342,342,217,211,217,229,214,223,403,409,345,372,179,179,392,392,350,359,,60,13
LTC29,LTC,0,0,405,405,335,335,370,373,351,357,333,333,0,0,253,253,220,223,0,0,345,372,164,164,389,392,350,350,,55,8
LTC30,LTC,274,278,401,405,335,338,370,358,357,357,342,342,217,211,217,226,214,223,397,403,345,372,176,176,383,392,350,350,,61,21
LTC31,LTC,274,274,401,403,335,335,370,358,357,357,339,342,214,229,214,217,193,220,403,406,345,345,176,176,383,392,350,350,,67,17
LTC32,LTC,274,278,405,405,335,335,370,358,354,357,342,342,214,229,214,217,202,220,409,409,345,372,176,176,392,392,350,350,,67,17
LTC33,LTC,276,278,403,409,335,338,370,358,357,357,342,342,214,229,214,232,202,220,400,400,372,399,164,164,380,392,350,350,,67,17
LTC34,LTC,274,274,401,405,335,335,370,358,357,357,342,342,223,211,217,223,217,220,403,406,372,399,176,176,383,395,350,353,,67,17
LTC35,LTC,276,278,403,403,335,338,370,358,354,357,342,345,232,211,217,217,223,223,400,403,345,372,170,176,389,392,350,359,,22,22
LTC36,LTC,274,276,405,407,317,335,370,358,357,357,342,342,217,211,220,220,220,223,400,403,345,372,164,176,389,392,350,350,,79,15
LTC37,LTC,272,274,405,405,335,335,370,385,357,357,342,342,217,226,220,253,214,220,403,406,345,372,164,179,392,392,350,359,,79,15
LTC38,LTC,274,274,403,403,335,335,370,370,348,357,342,345,217,232,226,229,223,223,400,400,345,372,176,179,392,392,350,362,,66,25
LTC39,LTC,274,274,403,405,0,0,370,370,357,357,342,342,217,232,214,214,220,223,400,409,345,372,164,164,392,398,350,350,,62,11
LTC40,LTC,274,274,401,403,335,338,370,370,357,357,330,342,217,226,226,253,223,223,400,400,345,372,176,176,389,392,350,350,,70,23
LTC41,LTC,274,276,403,405,335,335,370,370,357,357,342,342,217,211,214,226,220,223,403,409,345,372,176,179,392,398,350,350,,68,6
LTC42,LTC,274,274,405,405,335,335,370,370,357,357,342,342,226,211,217,217,223,223,403,409,345,372,173,179,392,392,350,362,,77,4
LTC43,LTC,274,274,405,407,335,335,370,370,357,357,330,342,217,232,226,253,220,220,400,409,345,372,164,176,392,392,350,350,,64,17
LTC44,LTC,276,278,401,403,335,335,370,370,351,357,342,345,226,232,226,253,220,223,403,412,345,372,167,176,389,392,350,350,,81,5
LTC45,LTC,274,278,405,405,335,335,370,370,357,357,342,342,214,211,220,223,211,211,400,406,345,372,176,176,392,392,350,350,,83,22
LTC46,LTC,274,274,403,405,332,335,370,370,357,357,342,342,223,229,214,217,217,217,400,409,345,372,164,179,395,398,350,350,,83,22
LTC47,LTC,274,276,405,405,335,335,370,370,357,357,342,342,217,226,217,217,220,223,400,406,345,372,164,173,392,392,350,350,,83,22
LTC48,LTC,274,274,403,405,335,335,370,370,357,357,342,342,217,211,217,217,214,223,409,409,345,372,164,179,389,392,350,350,,81,25
LTC49,LTC,274,274,405,405,335,335,370,370,357,357,342,342,214,229,223,226,211,211,403,409,372,378,164,179,392,392,350,353,,89,23
LTC50,LTC,274,274,405,405,335,335,370,370,357,357,342,342,214,229,223,226,211,211,403,409,345,372,182,194,0,0,365,368,,89,23
LTC51,LTC,274,274,405,405,335,335,370,370,357,357,342,342,214,229,223,226,211,220,403,409,387,387,164,179,392,392,350,353,,89,23
LTC52,LTC,274,274,403,405,0,0,0,0,357,357,0,0,217,211,217,226,214,220,403,403,0,0,164,179,392,398,350,350,,89,5
LTC53,LTC,274,274,403,405,335,335,370,370,357,357,333,342,214,223,217,217,211,211,400,409,345,372,176,179,392,392,350,350,,72,2
LTC54,LTC,270,274,405,407,335,335,370,370,351,357,342,342,232,211,217,217,220,220,400,403,345,372,176,179,392,395,350,350,,81,6
LTC55,LTC,274,276,405,405,335,338,370,370,357,357,342,342,217,226,217,217,223,223,400,400,345,372,167,179,392,392,353,359,,91,12
LTC56,LTC,272,274,403,405,335,335,370,370,357,369,336,345,232,238,226,226,214,223,400,403,345,372,164,164,386,392,350,353,,87,19
LTC57,LTC,274,274,405,407,335,335,370,370,357,357,330,342,217,211,217,220,220,223,400,403,345,372,164,176,392,395,350,359,,87,27
LTC58,LTC,274,276,405,407,335,335,370,370,351,357,342,342,217,211,214,217,214,223,400,409,345,372,176,176,392,392,350,350,,49,4
LTC59,LTC,274,274,403,405,335,338,370,370,357,357,342,342,226,232,226,253,214,220,403,409,345,372,164,167,392,398,353,359,,86,10
LTC60,LTC,274,274,405,405,335,335,370,370,357,357,342,342,217,211,217,226,220,223,400,403,0,0,164,179,392,392,353,353,,95,27
LTC61,LTC,274,280,401,403,335,335,370,370,351,357,342,342,232,211,211,217,214,223,403,403,345,372,164,176,392,392,359,359,,93,6
LTC62,LTC,274,274,405,405,335,338,370,370,345,357,342,348,217,238,229,229,220,223,409,409,345,372,167,176,392,398,350,350,,58,24
LTC63,LTC,274,274,403,405,335,335,370,370,348,351,342,342,226,232,217,217,223,223,403,409,345,372,176,179,392,392,350,350,,61,5
LTC64,LTC,274,274,405,407,335,338,370,370,357,357,333,342,0,0,217,217,223,250,403,409,372,399,164,164,377,392,350,359,,91,17
LTC65,LTC,0,0,403,405,335,335,370,370,357,357,339,342,217,232,217,226,220,223,400,400,345,372,170,176,392,392,350,350,,75,26