1,53,1,53,1,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheet1,Codominant Genotypic Distance,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZGB1,ZGB2,ZGB3,ZGB4,ZGB5,ZGB6,ZGB7,ZGB8,ZGB9,ZGB10,ZGB11,ZGB12,ZGB13,ZGB14,ZGB15,ZGB16,ZGB17,ZGB18,ZGB19,ZGB20,ZGB21,ZGB22,ZGB23,ZGB24,ZGB25,ZGB26,ZGB27,ZGB28,ZGB29,ZGB30,ZGB31,ZGB32,ZGB33,ZGB34,ZGB35,ZGB36,ZGB37,ZGB38,ZGB39,ZGB40,ZGB41,ZGB42,ZGB43,ZGB44,ZGB45,ZGB46,ZGB47,ZGB48,ZGB49,ZGB50,ZGB51,ZGB52,ZGB53,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB1
17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB2
17,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB3
23,16,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB4
19,11,16,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB5
20,12,13,19,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB6
14,17,15,20,19,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB7
17,17,15,19,15,14,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB8
21,13,19,24,14,15,17,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB9
17,12,23,19,14,15,15,17,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB10
19,12,15,16,13,11,15,15,13,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB11
19,16,21,18,19,12,16,17,20,17,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB12
21,13,17,14,11,10,14,11,15,12,11,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB13
15,10,14,18,10,11,15,12,15,17,14,12,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB14
13,13,18,18,15,14,15,15,19,15,12,20,17,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB15
15,17,22,20,20,18,15,20,20,17,17,18,17,15,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB16
16,20,18,23,19,21,23,20,23,21,15,23,19,19,20,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB17
15,12,15,14,13,17,17,20,13,16,10,18,15,12,13,18,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB18
24,22,25,22,21,23,23,24,29,26,23,27,23,21,23,24,27,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB19
14,19,25,25,23,18,17,20,23,19,19,20,20,15,20,8,23,21,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB20
18,15,18,13,13,12,17,14,15,12,11,15,9,15,16,16,16,13,22,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB21
25,28,18,26,22,26,27,19,32,33,24,28,21,21,27,26,21,24,15,27,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB22
18,13,16,20,12,11,16,14,12,15,11,14,10,9,15,19,15,11,26,18,11,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB23
16,15,16,18,16,14,11,15,14,13,12,19,13,14,16,14,19,15,25,18,13,24,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB24
13,11,12,14,13,12,11,11,17,14,10,17,12,11,10,14,15,10,21,14,13,18,13,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB25
22,18,17,17,17,17,23,18,24,20,13,19,14,12,21,16,16,18,24,18,14,19,14,15,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB26
13,17,26,19,17,21,17,19,20,14,16,19,14,16,18,7,20,17,24,11,13,26,17,12,15,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB27
17,17,20,19,16,16,15,15,17,16,16,15,14,13,15,12,26,18,25,13,16,26,16,18,15,18,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,ZGB28
16,15,14,17,16,11,13,13,15,16,11,12,8,9,14,13,20,14,25,13,12,20,9,13,11,11,15,11,0,,,,,,,,,,,,,,,,,,,,,,,,,ZGB29
17,21,23,24,22,24,17,23,25,25,22,26,26,17,17,18,30,23,22,19,24,30,25,22,17,19,16,16,19,0,,,,,,,,,,,,,,,,,,,,,,,,ZGB30
15,12,20,11,12,14,15,17,18,12,10,11,8,12,14,13,19,13,21,16,9,23,13,13,11,12,11,13,11,17,0,,,,,,,,,,,,,,,,,,,,,,,ZGB31
13,13,19,20,15,12,15,17,21,15,13,16,12,13,16,13,19,17,26,14,13,24,11,7,11,13,11,20,14,23,10,0,,,,,,,,,,,,,,,,,,,,,,ZGB32
15,11,18,16,12,11,10,15,18,14,10,13,11,9,14,14,21,15,18,15,14,25,13,12,9,14,14,14,12,13,6,10,0,,,,,,,,,,,,,,,,,,,,,ZGB33
18,14,24,16,14,18,15,16,22,16,14,16,11,11,16,9,24,17,22,12,14,25,15,15,13,12,8,10,10,17,9,13,10,0,,,,,,,,,,,,,,,,,,,,ZGB34
13,11,20,22,13,10,16,18,13,12,13,16,14,10,16,14,15,14,21,14,15,28,13,13,12,17,15,18,13,22,14,11,10,16,0,,,,,,,,,,,,,,,,,,,ZGB35
12,9,14,15,12,12,13,11,12,12,13,14,11,11,9,17,16,11,19,19,14,23,13,14,8,19,15,15,12,18,13,15,13,15,10,0,,,,,,,,,,,,,,,,,,ZGB36
16,10,19,21,14,12,16,19,9,15,12,19,16,12,10,19,22,11,25,20,16,31,10,12,13,24,17,16,14,20,15,14,14,18,11,7,0,,,,,,,,,,,,,,,,,ZGB37
17,14,18,22,14,14,15,21,9,16,14,17,15,14,16,20,22,13,23,24,16,32,13,15,18,25,18,15,16,19,15,19,14,20,13,10,5,0,,,,,,,,,,,,,,,,ZGB38
12,17,16,24,13,17,15,13,19,17,15,22,17,16,13,20,13,14,23,19,17,21,17,18,10,20,18,17,18,19,18,16,16,20,14,12,16,16,0,,,,,,,,,,,,,,,ZGB39
14,15,13,15,13,16,18,14,18,20,12,20,15,11,11,18,15,8,23,20,11,19,12,15,11,17,15,15,14,20,13,15,16,16,18,13,13,16,13,0,,,,,,,,,,,,,,ZGB40
19,11,18,13,16,12,9,12,13,12,14,14,10,10,14,18,24,13,21,19,13,29,12,12,10,21,15,15,13,19,14,16,10,13,13,9,11,13,18,15,0,,,,,,,,,,,,,ZGB41
18,14,17,20,14,13,13,17,10,13,12,20,14,13,14,20,19,13,24,21,13,29,9,10,14,21,16,16,15,20,15,15,14,18,13,12,6,6,15,13,9,0,,,,,,,,,,,,ZGB42
14,11,16,16,11,13,14,14,15,16,13,16,11,8,17,13,21,13,20,14,13,22,10,14,11,16,12,14,12,18,11,12,9,10,10,10,11,12,16,13,8,10,0,,,,,,,,,,,ZGB43
16,11,15,16,11,10,17,12,16,14,8,16,13,12,12,18,14,13,24,20,12,23,10,13,12,15,17,17,13,23,13,12,13,17,14,12,12,16,14,11,16,14,16,0,,,,,,,,,,ZGB44
17,17,18,19,13,17,17,10,22,20,19,20,15,12,17,16,21,17,20,16,13,22,19,20,11,17,14,13,15,18,18,20,16,12,17,12,20,22,13,14,13,20,13,17,0,,,,,,,,,ZGB45
17,15,15,20,16,11,17,18,12,11,15,13,13,12,16,13,23,15,27,15,14,27,16,18,14,16,16,10,10,21,15,19,17,16,14,13,16,16,17,17,16,18,17,16,14,0,,,,,,,,ZGB46
17,16,20,20,21,17,10,19,20,18,19,17,15,17,21,19,25,21,21,23,20,31,21,14,16,23,18,21,19,15,14,15,11,18,16,13,16,13,16,22,13,14,15,20,22,22,0,,,,,,,ZGB47
23,17,20,19,16,17,12,14,19,18,18,19,12,15,18,19,29,19,25,16,16,27,16,16,13,24,18,16,16,23,16,18,14,14,20,14,17,18,19,17,9,14,11,20,16,21,17,0,,,,,,ZGB48
22,17,26,22,21,19,21,25,14,17,15,20,18,16,17,21,27,13,27,22,17,32,12,18,19,24,18,17,15,24,17,21,19,19,18,16,10,13,24,18,14,12,16,19,22,16,24,22,0,,,,,ZGB49
17,18,19,18,18,18,13,16,18,15,17,14,15,17,10,20,27,16,25,20,15,27,17,19,12,23,17,14,13,17,15,21,16,16,21,11,16,17,17,15,11,15,14,21,15,15,21,14,17,0,,,,ZGB50
23,13,22,16,15,18,18,19,17,19,14,20,15,13,16,22,26,8,22,26,17,29,15,19,12,25,20,18,17,25,17,21,15,16,18,12,13,16,19,11,9,16,13,17,16,20,21,15,14,16,0,,,ZGB51
15,13,18,17,11,13,13,14,18,16,14,17,11,10,10,17,20,13,20,17,10,23,13,14,10,18,12,16,13,17,11,12,10,11,14,13,14,17,14,8,9,14,11,15,11,16,18,13,18,12,13,0,,ZGB52
23,15,21,19,15,17,15,15,18,13,16,20,14,15,14,24,27,17,27,18,16,29,16,18,12,21,22,17,17,23,16,19,15,16,22,16,19,21,15,17,11,16,17,18,18,18,21,9,22,13,15,13,0,ZGB53