Mantel Results for GGD (2) vs Phiptp,,,,
,,,,
X Matrix,GGD (2),,,
Y Matrix,Phiptp,,,
Data Title,,,,
,,,,
No. Samples,53,No. in Matrix,1378,
No. Permutations,99,,,
,,,,
SSx,SSy,SPxy,Rxy,P(rxy-rand >= rxy-data)
1194133.169,1194133.169,1194133.169,1.000,0.010
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
X,Y,,Sample 1,Sample 2
5.346,5.346,,1,2
12.042,12.042,,1,3
6.912,6.912,,2,3
18.111,18.111,,1,4
12.766,12.766,,2,4
6.708,6.708,,3,4
12.083,12.083,,1,5
7.140,7.140,,2,5
6.083,6.083,,3,5
7.616,7.616,,4,5
14.422,14.422,,1,6
9.909,9.909,,2,6
9.000,9.000,,3,6
8.485,8.485,,4,6
3.162,3.162,,5,6
13.454,13.454,,1,7
10.009,10.009,,2,7
11.402,11.402,,3,7
12.042,12.042,,4,7
5.385,5.385,,5,7
3.606,3.606,,6,7
17.692,17.692,,1,8
13.674,13.674,,2,8
13.038,13.038,,3,8
11.180,11.180,,4,8
7.280,7.280,,5,8
4.123,4.123,,6,8
4.472,4.472,,7,8
15.620,15.620,,1,9
11.462,11.462,,2,9
11.000,11.000,,3,9
10.000,10.000,,4,9
5.099,5.099,,5,9
2.000,2.000,,6,9
3.000,3.000,,7,9
2.236,2.236,,8,9
8.016,8.016,,1,10
8.737,8.737,,2,10
14.603,14.603,,3,10
18.500,18.500,,4,10
10.920,10.920,,5,10
11.500,11.500,,6,10
8.732,8.732,,7,10
13.124,13.124,,8,10
11.673,11.673,,9,10
8.016,8.016,,1,11
8.737,8.737,,2,11
14.603,14.603,,3,11
18.500,18.500,,4,11
10.920,10.920,,5,11
11.500,11.500,,6,11
8.732,8.732,,7,11
13.124,13.124,,8,11
11.673,11.673,,9,11
0.000,0.000,,10,11
8.016,8.016,,1,12
8.737,8.737,,2,12
14.603,14.603,,3,12
18.500,18.500,,4,12
10.920,10.920,,5,12
11.500,11.500,,6,12
8.732,8.732,,7,12
13.124,13.124,,8,12
11.673,11.673,,9,12
0.000,0.000,,10,12
0.000,0.000,,11,12
8.016,8.016,,1,13
8.737,8.737,,2,13
14.603,14.603,,3,13
18.500,18.500,,4,13
10.920,10.920,,5,13
11.500,11.500,,6,13
8.732,8.732,,7,13
13.124,13.124,,8,13
11.673,11.673,,9,13
0.000,0.000,,10,13
0.000,0.000,,11,13
0.000,0.000,,12,13
14.009,14.009,,1,14
14.510,14.510,,2,14
19.526,19.526,,3,14
22.051,22.051,,4,14
14.603,14.603,,5,14
13.865,13.865,,6,14
10.308,10.308,,7,14
13.647,13.647,,8,14
13.124,13.124,,9,14
6.083,6.083,,10,14
6.083,6.083,,11,14
6.083,6.083,,12,14
6.083,6.083,,13,14
19.105,19.105,,1,15
15.368,15.368,,2,15
15.033,15.033,,3,15
13.000,13.000,,4,15
9.220,9.220,,5,15
6.083,6.083,,6,15
5.657,5.657,,7,15
2.000,2.000,,8,15
4.123,4.123,,9,15
13.865,13.865,,10,15
13.865,13.865,,11,15
13.865,13.865,,12,15
13.865,13.865,,13,15
13.500,13.500,,14,15
28.814,28.814,,1,16
25.230,25.230,,2,16
24.254,24.254,,3,16
20.500,20.500,,4,16
18.848,18.848,,5,16
15.692,15.692,,6,16
15.403,15.403,,7,16
11.630,11.630,,8,16
13.865,13.865,,9,16
22.727,22.727,,10,16
22.727,22.727,,11,16
22.727,22.727,,12,16
22.727,22.727,,13,16
20.359,20.359,,14,16
9.862,9.862,,15,16
24.759,24.759,,1,17
20.663,20.663,,2,17
18.974,18.974,,3,17
15.000,15.000,,4,17
13.892,13.892,,5,17
10.817,10.817,,6,17
11.402,11.402,,7,17
7.071,7.071,,8,17
9.220,9.220,,9,17
19.679,19.679,,10,17
19.679,19.679,,11,17
19.679,19.679,,12,17
19.679,19.679,,13,17
18.742,18.742,,14,17
5.831,5.831,,15,17
5.500,5.500,,16,17
42.202,42.202,,1,18
36.891,36.891,,2,18
31.016,31.016,,3,18
24.352,24.352,,4,18
30.414,30.414,,5,18
29.069,29.069,,6,18
32.000,32.000,,7,18
28.071,28.071,,8,18
29.000,29.000,,9,18
40.549,40.549,,10,18
40.549,40.549,,11,18
40.549,40.549,,12,18
40.549,40.549,,13,18
41.692,41.692,,14,18
28.284,28.284,,15,18
26.177,26.177,,16,18
24.042,24.042,,17,18
46.011,46.011,,1,19
40.701,40.701,,2,19
34.059,34.059,,3,19
28.018,28.018,,4,19
35.228,35.228,,5,19
34.713,34.713,,6,19
38.079,38.079,,7,19
34.785,34.785,,8,19
35.171,35.171,,9,19
46.035,46.035,,10,19
46.035,46.035,,11,19
46.035,46.035,,12,19
46.035,46.035,,13,19
48.283,48.283,,14,19
35.468,35.468,,15,19
35.302,35.302,,16,19
32.249,32.249,,17,19
10.296,10.296,,18,19
51.662,51.662,,1,20
46.361,46.361,,2,20
40.497,40.497,,3,20
33.838,33.838,,4,20
39.812,39.812,,5,20
38.328,38.328,,6,20
41.110,41.110,,7,20
37.014,37.014,,8,20
38.118,38.118,,9,20
49.752,49.752,,10,20
49.752,49.752,,11,20
49.752,49.752,,12,20
49.752,49.752,,13,20
50.510,50.510,,14,20
37.014,37.014,,15,20
33.380,33.380,,16,20
32.249,32.249,,17,20
9.487,9.487,,18,20
12.649,12.649,,19,20
67.676,67.676,,1,21
62.445,62.445,,2,21
56.859,56.859,,3,21
50.160,50.160,,4,21
55.660,55.660,,5,21
53.852,53.852,,6,21
56.294,56.294,,7,21
51.971,51.971,,8,21
53.367,53.367,,9,21
65.025,65.025,,10,21
65.025,65.025,,11,21
65.025,65.025,,12,21
65.025,65.025,,13,21
64.994,64.994,,14,21
51.624,51.624,,15,21
46.003,46.003,,16,21
46.271,46.271,,17,21
25.942,25.942,,18,21
27.659,27.659,,19,21
16.643,16.643,,20,21
73.853,73.853,,1,22
68.591,68.591,,2,22
62.859,62.859,,3,22
56.181,56.181,,4,22
61.881,61.881,,5,22
60.152,60.152,,6,22
62.660,62.660,,7,22
58.363,58.363,,8,22
59.718,59.718,,9,22
71.386,71.386,,10,22
71.386,71.386,,11,22
71.386,71.386,,12,22
71.386,71.386,,13,22
71.449,71.449,,14,22
58.054,58.054,,15,22
52.502,52.502,,16,22
52.738,52.738,,17,22
31.847,31.847,,18,22
32.268,32.268,,19,22
22.389,22.389,,20,22
6.500,6.500,,21,22
70.613,70.613,,1,23
65.283,65.283,,2,23
58.713,58.713,,3,23
52.538,52.538,,4,23
59.508,59.508,,5,23
58.637,58.637,,6,23
61.792,61.792,,7,23
58.054,58.054,,8,23
58.807,58.807,,9,23
70.114,70.114,,10,23
70.114,70.114,,11,23
70.114,70.114,,12,23
70.114,70.114,,13,23
71.701,71.701,,14,23
58.363,58.363,,15,23
55.664,55.664,,16,23
54.086,54.086,,17,23
30.104,30.104,,18,23
24.683,24.683,,19,23
22.389,22.389,,20,23
19.138,19.138,,21,23
18.000,18.000,,22,23
70.507,70.507,,1,24
65.222,65.222,,2,24
58.500,58.500,,3,24
52.586,52.586,,4,24
59.802,59.802,,5,24
59.188,59.188,,6,24
62.476,62.476,,7,24
58.951,58.951,,8,24
59.525,59.525,,9,24
70.576,70.576,,10,24
70.576,70.576,,11,24
70.576,70.576,,12,24
70.576,70.576,,13,24
72.567,72.567,,14,24
59.424,59.424,,15,24
57.520,57.520,,16,24
55.500,55.500,,17,24
31.484,31.484,,18,24
24.581,24.581,,19,24
24.824,24.824,,20,24
23.901,23.901,,21,24
23.000,23.000,,22,24
5.000,5.000,,23,24
75.500,75.500,,1,25
70.203,70.203,,2,25
63.508,63.508,,3,25
57.535,57.535,,4,25
64.694,64.694,,5,25
64.002,64.002,,6,25
67.248,67.248,,7,25
63.642,63.642,,8,25
64.283,64.283,,9,25
75.425,75.425,,10,25
75.425,75.425,,11,25
75.425,75.425,,12,25
75.425,75.425,,13,25
77.279,77.279,,14,25
64.049,64.049,,15,25
61.745,61.745,,16,25
59.960,59.960,,17,25
35.920,35.920,,18,25
29.517,29.517,,19,25
28.623,28.623,,20,25
24.824,24.824,,21,25
22.561,22.561,,22,25
6.403,6.403,,23,25
5.099,5.099,,24,25
75.500,75.500,,1,26
70.203,70.203,,2,26
63.508,63.508,,3,26
57.535,57.535,,4,26
64.694,64.694,,5,26
64.002,64.002,,6,26
67.248,67.248,,7,26
63.642,63.642,,8,26
64.283,64.283,,9,26
75.425,75.425,,10,26
75.425,75.425,,11,26
75.425,75.425,,12,26
75.425,75.425,,13,26
77.279,77.279,,14,26
64.049,64.049,,15,26
61.745,61.745,,16,26
59.960,59.960,,17,26
35.920,35.920,,18,26
29.517,29.517,,19,26
28.623,28.623,,20,26
24.824,24.824,,21,26
22.561,22.561,,22,26
6.403,6.403,,23,26
5.099,5.099,,24,26
0.000,0.000,,25,26
75.500,75.500,,1,27
70.203,70.203,,2,27
63.508,63.508,,3,27
57.535,57.535,,4,27
64.694,64.694,,5,27
64.002,64.002,,6,27
67.248,67.248,,7,27
63.642,63.642,,8,27
64.283,64.283,,9,27
75.425,75.425,,10,27
75.425,75.425,,11,27
75.425,75.425,,12,27
75.425,75.425,,13,27
77.279,77.279,,14,27
64.049,64.049,,15,27
61.745,61.745,,16,27
59.960,59.960,,17,27
35.920,35.920,,18,27
29.517,29.517,,19,27
28.623,28.623,,20,27
24.824,24.824,,21,27
22.561,22.561,,22,27
6.403,6.403,,23,27
5.099,5.099,,24,27
0.000,0.000,,25,27
0.000,0.000,,26,27
84.024,84.024,,1,28
78.746,78.746,,2,28
72.007,72.007,,3,28
66.121,66.121,,4,28
73.335,73.335,,5,28
72.691,72.691,,6,28
75.954,75.954,,7,28
72.367,72.367,,8,28
72.993,72.993,,9,28
84.097,84.097,,10,28
84.097,84.097,,11,28
84.097,84.097,,12,28
84.097,84.097,,13,28
86.001,86.001,,14,28
72.780,72.780,,15,28
70.401,70.401,,16,28
68.680,68.680,,17,28
44.643,44.643,,18,28
38.118,38.118,,19,28
37.162,37.162,,20,28
31.241,31.241,,21,28
27.536,27.536,,22,28
14.773,14.773,,23,28
13.537,13.537,,24,28
8.732,8.732,,25,28
8.732,8.732,,26,28
8.732,8.732,,27,28
86.000,86.000,,1,29
80.703,80.703,,2,29
74.007,74.007,,3,29
68.029,68.029,,4,29
75.166,75.166,,5,29
74.431,74.431,,6,29
77.647,77.647,,7,29
73.980,73.980,,8,29
74.673,74.673,,9,29
85.873,85.873,,10,29
85.873,85.873,,11,29
85.873,85.873,,12,29
85.873,85.873,,13,29
87.626,87.626,,14,29
74.330,74.330,,15,29
71.626,71.626,,16,29
70.093,70.093,,17,29
46.098,46.098,,18,29
40.012,40.012,,19,29
38.275,38.275,,20,29
31.113,31.113,,21,29
26.912,26.912,,22,29
16.008,16.008,,23,29
15.532,15.532,,24,29
10.500,10.500,,25,29
10.500,10.500,,26,29
10.500,10.500,,27,29
2.828,2.828,,28,29
92.067,92.067,,1,30
86.745,86.745,,2,30
80.126,80.126,,3,30
74.015,74.015,,4,30
81.014,81.014,,5,30
80.126,80.126,,6,30
83.254,83.254,,7,30
79.456,79.456,,8,30
80.264,80.264,,9,30
91.611,91.611,,10,30
91.611,91.611,,11,30
91.611,91.611,,12,30
91.611,91.611,,13,30
93.094,93.094,,14,30
79.695,79.695,,15,30
76.400,76.400,,16,30
75.221,75.221,,17,30
51.413,51.413,,18,30
46.068,46.068,,19,30
43.061,43.061,,20,30
33.560,33.560,,21,30
28.364,28.364,,22,30
21.506,21.506,,23,30
21.966,21.966,,24,30
16.867,16.867,,25,30
16.867,16.867,,26,30
16.867,16.867,,27,30
9.708,9.708,,28,30
6.946,6.946,,29,30
95.564,95.564,,1,31
90.243,90.243,,2,31
83.621,83.621,,3,31
77.515,77.515,,4,31
84.513,84.513,,5,31
83.621,83.621,,6,31
86.744,86.744,,7,31
82.937,82.937,,8,31
83.753,83.753,,9,31
95.107,95.107,,10,31
95.107,95.107,,11,31
95.107,95.107,,12,31
95.107,95.107,,13,31
96.573,96.573,,14,31
83.165,83.165,,15,31
79.795,79.795,,16,31
78.667,78.667,,17,31
54.886,54.886,,18,31
49.563,49.563,,19,31
46.481,46.481,,20,31
36.531,36.531,,21,31
31.101,31.101,,22,31
25.005,25.005,,23,31
25.402,25.402,,24,31
20.304,20.304,,25,31
20.304,20.304,,26,31
20.304,20.304,,27,31
12.748,12.748,,28,31
10.124,10.124,,29,31
3.500,3.500,,30,31
95.564,95.564,,1,32
90.243,90.243,,2,32
83.621,83.621,,3,32
77.515,77.515,,4,32
84.513,84.513,,5,32
83.621,83.621,,6,32
86.744,86.744,,7,32
82.937,82.937,,8,32
83.753,83.753,,9,32
95.107,95.107,,10,32
95.107,95.107,,11,32
95.107,95.107,,12,32
95.107,95.107,,13,32
96.573,96.573,,14,32
83.165,83.165,,15,32
79.795,79.795,,16,32
78.667,78.667,,17,32
54.886,54.886,,18,32
49.563,49.563,,19,32
46.481,46.481,,20,32
36.531,36.531,,21,32
31.101,31.101,,22,32
25.005,25.005,,23,32
25.402,25.402,,24,32
20.304,20.304,,25,32
20.304,20.304,,26,32
20.304,20.304,,27,32
12.748,12.748,,28,32
10.124,10.124,,29,32
3.500,3.500,,30,32
0.000,0.000,,31,32
95.564,95.564,,1,33
90.243,90.243,,2,33
83.621,83.621,,3,33
77.515,77.515,,4,33
84.513,84.513,,5,33
83.621,83.621,,6,33
86.744,86.744,,7,33
82.937,82.937,,8,33
83.753,83.753,,9,33
95.107,95.107,,10,33
95.107,95.107,,11,33
95.107,95.107,,12,33
95.107,95.107,,13,33
96.573,96.573,,14,33
83.165,83.165,,15,33
79.795,79.795,,16,33
78.667,78.667,,17,33
54.886,54.886,,18,33
49.563,49.563,,19,33
46.481,46.481,,20,33
36.531,36.531,,21,33
31.101,31.101,,22,33
25.005,25.005,,23,33
25.402,25.402,,24,33
20.304,20.304,,25,33
20.304,20.304,,26,33
20.304,20.304,,27,33
12.748,12.748,,28,33
10.124,10.124,,29,33
3.500,3.500,,30,33
0.000,0.000,,31,33
0.000,0.000,,32,33
92.229,92.229,,1,34
86.894,86.894,,2,34
80.351,80.351,,3,34
74.137,74.137,,4,34
81.014,81.014,,5,34
80.014,80.014,,6,34
83.074,83.074,,7,34
79.191,79.191,,8,34
80.077,80.077,,9,34
91.512,91.512,,10,34
91.512,91.512,,11,34
91.512,91.512,,12,34
91.512,91.512,,13,34
92.804,92.804,,14,34
79.355,79.355,,15,34
75.710,75.710,,16,34
74.741,74.741,,17,34
51.120,51.120,,18,34
46.328,46.328,,19,34
42.500,42.500,,20,34
32.004,32.004,,21,34
26.505,26.505,,22,34
21.645,21.645,,23,34
22.771,22.771,,24,34
17.734,17.734,,25,34
17.734,17.734,,26,34
17.734,17.734,,27,34
11.673,11.673,,28,34
8.846,8.846,,29,34
3.000,3.000,,30,34
4.610,4.610,,31,34
4.610,4.610,,32,34
4.610,4.610,,33,34
86.977,86.977,,1,35
81.632,81.632,,2,35
75.313,75.313,,3,35
68.884,68.884,,4,35
75.425,75.425,,5,35
74.169,74.169,,6,35
77.058,77.058,,7,35
73.007,73.007,,8,35
74.061,74.061,,9,35
85.646,85.646,,10,35
85.646,85.646,,11,35
85.646,85.646,,12,35
85.646,85.646,,13,35
86.506,86.506,,14,35
73.007,73.007,,15,35
68.660,68.660,,16,35
68.118,68.118,,17,35
45.100,45.100,,18,35
41.761,41.761,,19,35
36.000,36.000,,20,35
23.770,23.770,,21,35
17.923,17.923,,22,35
17.923,17.923,,23,35
20.887,20.887,,24,35
16.711,16.711,,25,35
16.711,16.711,,26,35
16.711,16.711,,27,35
15.133,15.133,,28,35
13.000,13.000,,29,35
11.236,11.236,,30,35
13.435,13.435,,31,35
13.435,13.435,,32,35
13.435,13.435,,33,35
8.846,8.846,,34,35
82.098,82.098,,1,36
76.771,76.771,,2,36
70.178,70.178,,3,36
64.031,64.031,,4,36
71.007,71.007,,5,36
70.114,70.114,,6,36
73.246,73.246,,7,36
69.462,69.462,,8,36
70.257,70.257,,9,36
81.598,81.598,,10,36
81.598,81.598,,11,36
81.598,81.598,,12,36
81.598,81.598,,13,36
83.104,83.104,,14,36
69.721,69.721,,15,36
66.620,66.620,,16,36
65.307,65.307,,17,36
41.437,41.437,,18,36
36.125,36.125,,19,36
33.242,33.242,,20,36
25.456,25.456,,21,36
21.360,21.360,,22,36
11.500,11.500,,23,36
12.540,12.540,,24,36
7.632,7.632,,25,36
7.632,7.632,,26,36
7.632,7.632,,27,36
6.325,6.325,,28,36
5.657,5.657,,29,36
10.012,10.012,,30,36
13.509,13.509,,31,36
13.509,13.509,,32,36
13.509,13.509,,33,36
10.308,10.308,,34,36
9.849,9.849,,35,36
82.098,82.098,,1,37
76.771,76.771,,2,37
70.178,70.178,,3,37
64.031,64.031,,4,37
71.007,71.007,,5,37
70.114,70.114,,6,37
73.246,73.246,,7,37
69.462,69.462,,8,37
70.257,70.257,,9,37
81.598,81.598,,10,37
81.598,81.598,,11,37
81.598,81.598,,12,37
81.598,81.598,,13,37
83.104,83.104,,14,37
69.721,69.721,,15,37
66.620,66.620,,16,37
65.307,65.307,,17,37
41.437,41.437,,18,37
36.125,36.125,,19,37
33.242,33.242,,20,37
25.456,25.456,,21,37
21.360,21.360,,22,37
11.500,11.500,,23,37
12.540,12.540,,24,37
7.632,7.632,,25,37
7.632,7.632,,26,37
7.632,7.632,,27,37
6.325,6.325,,28,37
5.657,5.657,,29,37
10.012,10.012,,30,37
13.509,13.509,,31,37
13.509,13.509,,32,37
13.509,13.509,,33,37
10.308,10.308,,34,37
9.849,9.849,,35,37
0.000,0.000,,36,37
82.098,82.098,,1,38
76.771,76.771,,2,38
70.178,70.178,,3,38
64.031,64.031,,4,38
71.007,71.007,,5,38
70.114,70.114,,6,38
73.246,73.246,,7,38
69.462,69.462,,8,38
70.257,70.257,,9,38
81.598,81.598,,10,38
81.598,81.598,,11,38
81.598,81.598,,12,38
81.598,81.598,,13,38
83.104,83.104,,14,38
69.721,69.721,,15,38
66.620,66.620,,16,38
65.307,65.307,,17,38
41.437,41.437,,18,38
