Mantel Results for GGD (2) vs Phiptp,,,,
36.125,36.125,,19,38
33.242,33.242,,20,38
25.456,25.456,,21,38
21.360,21.360,,22,38
11.500,11.500,,23,38
12.540,12.540,,24,38
7.632,7.632,,25,38
7.632,7.632,,26,38
7.632,7.632,,27,38
6.325,6.325,,28,38
5.657,5.657,,29,38
10.012,10.012,,30,38
13.509,13.509,,31,38
13.509,13.509,,32,38
13.509,13.509,,33,38
10.308,10.308,,34,38
9.849,9.849,,35,38
0.000,0.000,,36,38
0.000,0.000,,37,38
73.330,73.330,,1,39
67.985,67.985,,2,39
61.679,61.679,,3,39
55.238,55.238,,4,39
61.792,61.792,,5,39
60.574,60.574,,6,39
63.508,63.508,,7,39
59.508,59.508,,8,39
60.508,60.508,,9,39
72.062,72.062,,10,39
72.062,72.062,,11,39
72.062,72.062,,12,39
72.062,72.062,,13,39
73.062,73.062,,14,39
59.576,59.576,,15,39
55.700,55.700,,16,39
54.829,54.829,,17,39
31.516,31.516,,18,39
28.324,28.324,,19,39
22.589,22.589,,20,39
13.901,13.901,,21,39
11.180,11.180,,22,39
7.280,7.280,,23,39
12.166,12.166,,24,39
11.402,11.402,,25,39
11.402,11.402,,26,39
11.402,11.402,,27,39
17.357,17.357,,28,39
17.414,17.414,,29,39
20.893,20.893,,30,39
24.192,24.192,,31,39
24.192,24.192,,32,39
24.192,24.192,,33,39
20.012,20.012,,34,39
13.647,13.647,,35,39
11.800,11.800,,36,39
11.800,11.800,,37,39
11.800,11.800,,38,39
77.770,77.770,,1,40
72.432,72.432,,2,40
66.221,66.221,,3,40
59.718,59.718,,4,40
66.115,66.115,,5,40
64.778,64.778,,6,40
67.618,67.618,,7,40
63.531,63.531,,8,40
64.624,64.624,,9,40
76.236,76.236,,10,40
76.236,76.236,,11,40
76.236,76.236,,12,40
76.236,76.236,,13,40
77.000,77.000,,14,40
63.500,63.500,,15,40
59.114,59.114,,16,40
58.577,58.577,,17,40
35.725,35.725,,18,40
33.155,33.155,,19,40
26.519,26.519,,20,40
14.841,14.841,,21,40
10.000,10.000,,22,40
11.662,11.662,,23,40
16.155,16.155,,24,40
14.036,14.036,,25,40
14.036,14.036,,26,40
14.036,14.036,,27,40
17.671,17.671,,28,40
16.919,16.919,,29,40
18.722,18.722,,30,40
21.708,21.708,,31,40
21.708,21.708,,32,40
21.708,21.708,,33,40
17.219,17.219,,34,40
9.552,9.552,,35,40
11.413,11.413,,36,40
11.413,11.413,,37,40
11.413,11.413,,38,40
5.000,5.000,,39,40
83.024,83.024,,1,41
77.680,77.680,,2,41
71.386,71.386,,3,41
64.938,64.938,,4,41
71.449,71.449,,5,41
70.178,70.178,,6,41
73.062,73.062,,7,41
69.007,69.007,,8,41
70.064,70.064,,9,41
81.653,81.653,,10,41
81.653,81.653,,11,41
81.653,81.653,,12,41
81.653,81.653,,13,41
82.506,82.506,,14,41
69.007,69.007,,15,41
64.701,64.701,,16,41
64.125,64.125,,17,41
41.110,41.110,,18,41
37.947,37.947,,19,41
32.000,32.000,,20,41
20.125,20.125,,21,41
14.603,14.603,,22,41
14.603,14.603,,23,41
18.118,18.118,,24,41
14.534,14.534,,25,41
14.534,14.534,,26,41
14.534,14.534,,27,41
15.133,15.133,,28,41
13.601,13.601,,29,41
13.793,13.793,,30,41
16.508,16.508,,31,41
16.508,16.508,,32,41
16.508,16.508,,33,41
11.927,11.927,,34,41
4.000,4.000,,35,41
9.000,9.000,,36,41
9.000,9.000,,37,41
9.000,9.000,,38,41
9.708,9.708,,39,41
5.590,5.590,,40,41
83.024,83.024,,1,42
77.680,77.680,,2,42
71.386,71.386,,3,42
64.938,64.938,,4,42
71.449,71.449,,5,42
70.178,70.178,,6,42
73.062,73.062,,7,42
69.007,69.007,,8,42
70.064,70.064,,9,42
81.653,81.653,,10,42
81.653,81.653,,11,42
81.653,81.653,,12,42
81.653,81.653,,13,42
82.506,82.506,,14,42
69.007,69.007,,15,42
64.701,64.701,,16,42
64.125,64.125,,17,42
41.110,41.110,,18,42
37.947,37.947,,19,42
32.000,32.000,,20,42
20.125,20.125,,21,42
14.603,14.603,,22,42
14.603,14.603,,23,42
18.118,18.118,,24,42
14.534,14.534,,25,42
14.534,14.534,,26,42
14.534,14.534,,27,42
15.133,15.133,,28,42
13.601,13.601,,29,42
13.793,13.793,,30,42
16.508,16.508,,31,42
16.508,16.508,,32,42
16.508,16.508,,33,42
11.927,11.927,,34,42
4.000,4.000,,35,42
9.000,9.000,,36,42
9.000,9.000,,37,42
9.000,9.000,,38,42
9.708,9.708,,39,42
5.590,5.590,,40,42
0.000,0.000,,41,42
92.542,92.542,,1,43
87.197,87.197,,2,43
80.753,80.753,,3,43
74.431,74.431,,4,43
81.154,81.154,,5,43
80.025,80.025,,6,43
83.000,83.000,,7,43
79.025,79.025,,8,43
80.000,80.000,,9,43
91.522,91.522,,10,43
91.522,91.522,,11,43
91.522,91.522,,12,43
91.522,91.522,,13,43
92.586,92.586,,14,43
79.101,79.101,,15,43
75.048,75.048,,16,43
74.330,74.330,,17,43
51.000,51.000,,18,43
46.872,46.872,,19,43
42.107,42.107,,20,43
30.463,30.463,,21,43
24.622,24.622,,22,43
22.322,22.322,,23,43
24.151,24.151,,24,43
19.294,19.294,,25,43
19.294,19.294,,26,43
19.294,19.294,,27,43
14.422,14.422,,28,43
11.662,11.662,,29,43
6.500,6.500,,30,43
7.382,7.382,,31,43
7.382,7.382,,32,43
7.382,7.382,,33,43
3.500,3.500,,34,43
6.708,6.708,,35,43
11.662,11.662,,36,43
11.662,11.662,,37,43
11.662,11.662,,38,43
19.526,19.526,,39,43
16.008,16.008,,40,43
10.440,10.440,,41,43
10.440,10.440,,42,43
90.796,90.796,,1,44
85.450,85.450,,2,44
79.076,79.076,,3,44
72.691,72.691,,4,44
79.310,79.310,,5,44
78.102,78.102,,6,44
81.025,81.025,,7,44
77.000,77.000,,8,44
78.026,78.026,,9,44
89.589,89.589,,10,44
89.589,89.589,,11,44
89.589,89.589,,12,44
89.589,89.589,,13,44
90.522,90.522,,14,44
77.026,77.026,,15,44
72.762,72.762,,16,44
72.173,72.173,,17,44
49.041,49.041,,18,44
45.354,45.354,,19,44
40.012,40.012,,20,44
27.857,27.857,,21,44
21.915,21.915,,22,44
21.077,21.077,,23,44
23.436,23.436,,24,44
18.822,18.822,,25,44
18.822,18.822,,26,44
18.822,18.822,,27,44
15.232,15.232,,28,44
12.649,12.649,,29,44
8.732,8.732,,30,44
10.124,10.124,,31,44
10.124,10.124,,32,44
10.124,10.124,,33,44
5.852,5.852,,34,44
4.123,4.123,,35,44
11.314,11.314,,36,44
11.314,11.314,,37,44
11.314,11.314,,38,44
17.529,17.529,,39,44
13.647,13.647,,40,44
8.062,8.062,,41,44
8.062,8.062,,42,44
2.828,2.828,,43,44
94.048,94.048,,1,45
88.703,88.703,,2,45
82.377,82.377,,3,45
75.954,75.954,,4,45
82.492,82.492,,5,45
81.222,81.222,,6,45
84.095,84.095,,7,45
80.025,80.025,,8,45
81.099,81.099,,9,45
92.694,92.694,,10,45
92.694,92.694,,11,45
92.694,92.694,,12,45
92.694,92.694,,13,45
93.500,93.500,,14,45
80.000,80.000,,15,45
75.480,75.480,,16,45
75.060,75.060,,17,45
52.154,52.154,,18,45
48.765,48.765,,19,45
43.012,43.012,,20,45
30.083,30.083,,21,45
23.880,23.880,,22,45
24.622,24.622,,23,45
27.042,27.042,,24,45
22.411,22.411,,25,45
22.411,22.411,,26,45
22.411,22.411,,27,45
18.358,18.358,,28,45
15.652,15.652,,29,45
10.548,10.548,,30,45
10.794,10.794,,31,45
10.794,10.794,,32,45
10.794,10.794,,33,45
7.566,7.566,,34,45
7.071,7.071,,35,45
14.866,14.866,,36,45
14.866,14.866,,37,45
14.866,14.866,,38,45
20.718,20.718,,39,45
16.500,16.500,,40,45
11.045,11.045,,41,45
11.045,11.045,,42,45
4.123,4.123,,43,45
3.606,3.606,,44,45
76.199,76.199,,1,46
70.871,70.871,,2,46
64.771,64.771,,3,46
58.209,58.209,,4,46
64.446,64.446,,5,46
63.010,63.010,,6,46
65.774,65.774,,7,46
61.630,61.630,,8,46
62.787,62.787,,9,46
74.431,74.431,,10,46
74.431,74.431,,11,46
74.431,74.431,,12,46
74.431,74.431,,13,46
75.027,75.027,,14,46
61.533,61.533,,15,46
56.873,56.873,,16,46
56.509,56.509,,17,46
34.033,34.033,,18,46
32.206,32.206,,19,46
24.683,24.683,,20,46
12.093,12.093,,21,46
7.211,7.211,,22,46
12.649,12.649,,23,46
17.464,17.464,,24,46
16.031,16.031,,25,46
16.031,16.031,,26,46
16.031,16.031,,27,46
20.353,20.353,,28,46
19.704,19.704,,29,46
21.506,21.506,,30,46
24.439,24.439,,31,46
24.439,24.439,,32,46
24.439,24.439,,33,46
19.912,19.912,,34,46
11.885,11.885,,35,46
14.151,14.151,,36,46
14.151,14.151,,37,46
14.151,14.151,,38,46
5.385,5.385,,39,46
2.828,2.828,,40,46
8.078,8.078,,41,46
8.078,8.078,,42,46
18.500,18.500,,43,46
16.008,16.008,,44,46
18.608,18.608,,45,46
94.921,94.921,,1,47
89.589,89.589,,2,47
83.433,83.433,,3,47
76.903,76.903,,4,47
83.187,83.187,,5,47
81.743,81.743,,6,47
84.481,84.481,,7,47
80.306,80.306,,8,47
81.498,81.498,,9,47
93.152,93.152,,10,47
93.152,93.152,,11,47
93.152,93.152,,12,47
93.152,93.152,,13,47
93.634,93.634,,14,47
80.156,80.156,,15,47
75.082,75.082,,16,47
75.027,75.027,,17,47
52.773,52.773,,18,47
50.329,50.329,,19,47
43.417,43.417,,20,47
29.155,29.155,,21,47
22.699,22.699,,22,47
27.042,27.042,,23,47
30.104,30.104,,24,47
25.831,25.831,,25,47
25.831,25.831,,26,47
25.831,25.831,,27,47
22.847,22.847,,28,47
20.248,20.248,,29,47
15.532,15.532,,30,47
15.700,15.700,,31,47
15.700,15.700,,32,47
15.700,15.700,,33,47
12.540,12.540,,34,47
9.220,9.220,,35,47
18.601,18.601,,36,47
18.601,18.601,,37,47
18.601,18.601,,38,47
22.006,22.006,,39,47
17.241,17.241,,40,47
12.530,12.530,,41,47
12.530,12.530,,42,47
9.055,9.055,,43,47
7.616,7.616,,44,47
5.000,5.000,,45,47
18.742,18.742,,46,47
79.831,79.831,,1,48
74.505,74.505,,2,48
68.411,68.411,,3,48
61.847,61.847,,4,48
68.066,68.066,,5,48
66.611,66.611,,6,48
69.354,69.354,,7,48
65.192,65.192,,8,48
66.370,66.370,,9,48
78.021,78.021,,10,48
78.021,78.021,,11,48
78.021,78.021,,12,48
78.021,78.021,,13,48
78.557,78.557,,14,48
65.069,65.069,,15,48
60.252,60.252,,16,48
60.000,60.000,,17,48
37.656,37.656,,18,48
35.777,35.777,,19,48
28.284,28.284,,20,48
14.866,14.866,,21,48
9.014,9.014,,22,48
15.008,15.008,,23,48
19.500,19.500,,24,48
17.183,17.183,,25,48
17.183,17.183,,26,48
17.183,17.183,,27,48
19.925,19.925,,28,48
18.788,18.788,,29,48
19.449,19.449,,30,48
22.102,22.102,,31,48
22.102,22.102,,32,48
22.102,22.102,,33,48
17.500,17.500,,34,48
8.944,8.944,,35,48
13.601,13.601,,36,48
13.601,13.601,,37,48
13.601,13.601,,38,48
8.139,8.139,,39,48
3.354,3.354,,40,48
5.657,5.657,,41,48
5.657,5.657,,42,48
15.652,15.652,,43,48
13.000,13.000,,44,48
15.297,15.297,,45,48
3.640,3.640,,46,48
15.133,15.133,,47,48
79.831,79.831,,1,49
74.505,74.505,,2,49
68.411,68.411,,3,49
61.847,61.847,,4,49
68.066,68.066,,5,49
66.611,66.611,,6,49
69.354,69.354,,7,49
65.192,65.192,,8,49
66.370,66.370,,9,49
78.021,78.021,,10,49
78.021,78.021,,11,49
78.021,78.021,,12,49
78.021,78.021,,13,49
78.557,78.557,,14,49
65.069,65.069,,15,49
60.252,60.252,,16,49
60.000,60.000,,17,49
37.656,37.656,,18,49
35.777,35.777,,19,49
28.284,28.284,,20,49
14.866,14.866,,21,49
9.014,9.014,,22,49
15.008,15.008,,23,49
19.500,19.500,,24,49
17.183,17.183,,25,49
17.183,17.183,,26,49
17.183,17.183,,27,49
19.925,19.925,,28,49
18.788,18.788,,29,49
19.449,19.449,,30,49
22.102,22.102,,31,49
22.102,22.102,,32,49
22.102,22.102,,33,49
17.500,17.500,,34,49
8.944,8.944,,35,49
13.601,13.601,,36,49
13.601,13.601,,37,49
13.601,13.601,,38,49
8.139,8.139,,39,49
3.354,3.354,,40,49
5.657,5.657,,41,49
5.657,5.657,,42,49
15.652,15.652,,43,49
13.000,13.000,,44,49
15.297,15.297,,45,49
3.640,3.640,,46,49
15.133,15.133,,47,49
0.000,0.000,,48,49
79.831,79.831,,1,50
74.505,74.505,,2,50
68.411,68.411,,3,50
61.847,61.847,,4,50
68.066,68.066,,5,50
66.611,66.611,,6,50
69.354,69.354,,7,50
65.192,65.192,,8,50
66.370,66.370,,9,50
78.021,78.021,,10,50
78.021,78.021,,11,50
78.021,78.021,,12,50
78.021,78.021,,13,50
78.557,78.557,,14,50
65.069,65.069,,15,50
60.252,60.252,,16,50
60.000,60.000,,17,50
37.656,37.656,,18,50
35.777,35.777,,19,50
28.284,28.284,,20,50
14.866,14.866,,21,50
9.014,9.014,,22,50
15.008,15.008,,23,50
19.500,19.500,,24,50
17.183,17.183,,25,50
17.183,17.183,,26,50
17.183,17.183,,27,50
19.925,19.925,,28,50
18.788,18.788,,29,50
19.449,19.449,,30,50
22.102,22.102,,31,50
22.102,22.102,,32,50
22.102,22.102,,33,50
17.500,17.500,,34,50
8.944,8.944,,35,50
13.601,13.601,,36,50
13.601,13.601,,37,50
13.601,13.601,,38,50
8.139,8.139,,39,50
3.354,3.354,,40,50
5.657,5.657,,41,50
5.657,5.657,,42,50
15.652,15.652,,43,50
13.000,13.000,,44,50
15.297,15.297,,45,50
3.640,3.640,,46,50
15.133,15.133,,47,50
0.000,0.000,,48,50
0.000,0.000,,49,50
79.831,79.831,,1,51
74.505,74.505,,2,51
68.411,68.411,,3,51
61.847,61.847,,4,51
68.066,68.066,,5,51
66.611,66.611,,6,51
69.354,69.354,,7,51
65.192,65.192,,8,51
66.370,66.370,,9,51
78.021,78.021,,10,51
78.021,78.021,,11,51
78.021,78.021,,12,51
78.021,78.021,,13,51
78.557,78.557,,14,51
65.069,65.069,,15,51
60.252,60.252,,16,51
60.000,60.000,,17,51
37.656,37.656,,18,51
35.777,35.777,,19,51
28.284,28.284,,20,51
14.866,14.866,,21,51
9.014,9.014,,22,51
15.008,15.008,,23,51
19.500,19.500,,24,51
17.183,17.183,,25,51
17.183,17.183,,26,51
17.183,17.183,,27,51
19.925,19.925,,28,51
18.788,18.788,,29,51
19.449,19.449,,30,51
22.102,22.102,,31,51
22.102,22.102,,32,51
22.102,22.102,,33,51
17.500,17.500,,34,51
8.944,8.944,,35,51
13.601,13.601,,36,51
13.601,13.601,,37,51
13.601,13.601,,38,51
8.139,8.139,,39,51
3.354,3.354,,40,51
5.657,5.657,,41,51
5.657,5.657,,42,51
15.652,15.652,,43,51
13.000,13.000,,44,51
15.297,15.297,,45,51
3.640,3.640,,46,51
15.133,15.133,,47,51
0.000,0.000,,48,51
0.000,0.000,,49,51
0.000,0.000,,50,51
74.953,74.953,,1,52
69.635,69.635,,2,52
63.600,63.600,,3,52
57.009,57.009,,4,52
63.151,63.151,,5,52
61.660,61.660,,6,52
64.382,64.382,,7,52
60.208,60.208,,8,52
61.400,61.400,,9,52
73.056,73.056,,10,52
73.056,73.056,,11,52
73.056,73.056,,12,52
73.056,73.056,,13,52
73.561,73.561,,14,52
60.075,60.075,,15,52
55.274,55.274,,16,52
55.000,55.000,,17,52
32.757,32.757,,18,52
31.385,31.385,,19,52
23.345,23.345,,20,52
10.296,10.296,,21,52
5.590,5.590,,22,52
13.238,13.238,,23,52
18.173,18.173,,24,52
17.183,17.183,,25,52
17.183,17.183,,26,52
17.183,17.183,,27,52
21.954,21.954,,28,52
21.401,21.401,,29,52
23.308,23.308,,30,52
26.239,26.239,,31,52
26.239,26.239,,32,52
26.239,26.239,,33,52
21.708,21.708,,34,52
13.601,13.601,,35,52
15.811,15.811,,36,52
15.811,15.811,,37,52
15.811,15.811,,38,52
6.021,6.021,,39,52
4.610,4.610,,40,52
9.849,9.849,,41,52
9.849,9.849,,42,52
20.248,20.248,,43,52
17.720,17.720,,44,52
20.224,20.224,,45,52
1.803,1.803,,46,52
20.100,20.100,,47,52
5.000,5.000,,48,52
5.000,5.000,,49,52
5.000,5.000,,50,52
5.000,5.000,,51,52
76.243,76.243,,1,53
70.972,70.972,,2,53
65.192,65.192,,3,53
58.523,58.523,,4,53
64.288,64.288,,5,53
62.586,62.586,,6,53
65.115,65.115,,7,53
60.828,60.828,,8,53
62.169,62.169,,9,53
73.839,73.839,,10,53
73.839,73.839,,11,53
73.839,73.839,,12,53
73.839,73.839,,13,53
73.934,73.934,,14,53
60.531,60.531,,15,53
55.002,55.002,,16,53
55.227,55.227,,17,53
34.176,34.176,,18,53
34.205,34.205,,19,53
24.698,24.698,,20,53
9.000,9.000,,21,53
2.500,2.500,,22,53
18.173,18.173,,23,53
23.135,23.135,,24,53
22.142,22.142,,25,53
22.142,22.142,,26,53
22.142,22.142,,27,53
26.401,26.401,,28,53
25.554,25.554,,29,53
26.519,26.519,,30,53
29.129,29.129,,31,53
29.129,29.129,,32,53
29.129,29.129,,33,53
24.520,24.520,,34,53
15.811,15.811,,35,53
20.125,20.125,,36,53
20.125,20.125,,37,53
20.125,20.125,,38,53
11.011,11.011,,39,53
8.732,8.732,,40,53
12.728,12.728,,41,53
12.728,12.728,,42,53
22.472,22.472,,43,53
19.723,19.723,,44,53
21.541,21.541,,45,53
6.185,6.185,,46,53
20.224,20.224,,47,53
7.071,7.071,,48,53
7.071,7.071,,49,53
7.071,7.071,,50,53
7.071,7.071,,51,53
5.000,5.000,,52,53
