1,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80.281,76.763,66.914,58.822,57.079,62.000,65.008,69.029,69.029,72.000,77.006,77.006,77.006,47.538,34.077,31.780,39.459,47.096,49.041,49.041,43.684,43.684,36.087,31.516,31.516,31.516,32.684,29.415,29.415,26.912,26.912,24.010,23.707,27.951,21.587,19.105,17.464,20.591,9.220,19.026,19.026,16.530,18.439,13.000,7.616,7.616,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,ZGC48
80.281,76.763,66.914,58.822,57.079,62.000,65.008,69.029,69.029,72.000,77.006,77.006,77.006,47.538,34.077,31.780,39.459,47.096,49.041,49.041,43.684,43.684,36.087,31.516,31.516,31.516,32.684,29.415,29.415,26.912,26.912,24.010,23.707,27.951,21.587,19.105,17.464,20.591,9.220,19.026,19.026,16.530,18.439,13.000,7.616,7.616,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,ZGC49
84.646,81.133,71.324,63.246,61.205,66.030,69.065,73.000,73.000,76.026,81.006,81.006,81.006,51.995,38.539,36.139,43.738,51.245,53.000,53.000,47.542,47.542,40.003,35.514,35.514,35.514,37.152,33.871,33.871,31.341,31.341,28.469,28.178,32.268,25.962,23.345,21.095,25.060,13.601,23.195,23.195,20.524,22.091,17.117,12.083,12.083,4.472,4.472,4.472,0.000,,,,,,,,,,,,,,,,,,,,,,,,ZGC50
91.662,88.128,77.909,69.721,70.178,75.425,78.313,82.608,82.608,85.376,90.449,90.449,90.449,57.984,44.780,44.011,52.038,60.208,62.801,62.801,57.760,57.760,50.112,45.401,45.401,45.401,42.264,38.733,38.733,35.795,35.795,33.801,34.132,40.611,34.132,26.683,21.541,31.064,22.804,32.757,32.757,30.842,33.242,27.203,20.616,20.616,15.264,15.264,15.264,13.454,0.000,,,,,,,,,,,,,,,,,,,,,,,ZGC51
97.372,93.842,83.828,75.672,74.560,79.500,82.506,86.523,86.523,89.500,94.505,94.505,94.505,64.134,50.695,49.003,56.818,64.570,66.530,66.530,61.131,61.131,53.558,49.010,49.010,49.010,48.703,45.238,45.238,42.432,42.432,40.003,40.041,45.277,38.823,33.560,29.262,36.882,26.575,36.514,36.514,34.015,35.725,30.500,24.683,24.683,17.500,17.500,17.500,13.647,9.179,0.000,,,,,,,,,,,,,,,,,,,,,,ZGC52
86.701,83.165,72.965,64.777,65.192,70.456,73.335,77.647,77.647,80.399,85.475,85.475,85.475,53.057,39.815,39.013,47.043,55.227,57.871,57.871,52.880,52.880,45.235,40.512,40.512,40.512,37.366,33.842,33.842,30.923,30.923,28.853,29.155,35.627,29.155,21.840,17.000,26.077,18.028,27.893,27.893,26.101,28.636,22.472,15.811,15.811,11.314,11.314,11.314,10.770,5.000,12.420,0.000,,,,,,,,,,,,,,,,,,,,,ZGC53
86.701,83.165,72.965,64.777,65.192,70.456,73.335,77.647,77.647,80.399,85.475,85.475,85.475,53.057,39.815,39.013,47.043,55.227,57.871,57.871,52.880,52.880,45.235,40.512,40.512,40.512,37.366,33.842,33.842,30.923,30.923,28.853,29.155,35.627,29.155,21.840,17.000,26.077,18.028,27.893,27.893,26.101,28.636,22.472,15.811,15.811,11.314,11.314,11.314,10.770,5.000,12.420,0.000,0.000,,,,,,,,,,,,,,,,,,,,ZGC54
86.701,83.165,72.965,64.777,65.192,70.456,73.335,77.647,77.647,80.399,85.475,85.475,85.475,53.057,39.815,39.013,47.043,55.227,57.871,57.871,52.880,52.880,45.235,40.512,40.512,40.512,37.366,33.842,33.842,30.923,30.923,28.853,29.155,35.627,29.155,21.840,17.000,26.077,18.028,27.893,27.893,26.101,28.636,22.472,15.811,15.811,11.314,11.314,11.314,10.770,5.000,12.420,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,ZGC55
81.959,78.424,68.291,60.110,60.102,65.324,68.222,72.500,72.500,75.281,80.351,80.351,80.351,48.465,35.107,34.004,42.003,50.122,52.690,52.690,47.671,47.671,40.025,35.306,35.306,35.306,32.901,29.411,29.411,26.571,26.571,24.254,24.418,30.537,24.047,17.671,13.793,21.290,12.816,22.677,22.677,20.893,23.479,17.270,10.595,10.595,7.159,7.159,7.159,8.559,10.112,15.890,5.220,5.220,5.220,0.000,,,,,,,,,,,,,,,,,,ZGC56
81.615,78.080,67.871,59.682,60.299,65.620,68.469,72.835,72.835,75.538,80.623,80.623,80.623,47.959,34.731,34.059,42.107,50.359,53.151,53.151,48.283,48.283,40.660,35.920,35.920,35.920,32.268,28.745,28.745,25.831,25.831,23.759,24.083,30.761,24.331,16.763,12.207,21.024,13.892,23.409,23.409,21.915,24.698,18.358,11.662,11.662,9.487,9.487,9.487,11.045,10.050,17.066,5.099,5.099,5.099,2.500,0.000,,,,,,,,,,,,,,,,,ZGC57
77.021,73.486,63.385,55.211,55.111,60.351,63.240,67.537,67.537,70.301,75.374,75.374,75.374,43.610,30.208,29.004,37.003,45.136,47.762,47.762,42.808,42.808,35.171,30.438,30.438,30.438,28.151,24.698,24.698,21.932,21.932,19.449,19.526,25.544,19.059,13.314,10.735,16.378,8.322,17.868,17.868,16.325,19.138,12.777,6.103,6.103,6.801,6.801,6.801,10.404,15.075,20.555,10.112,10.112,10.112,5.000,5.590,0.000,,,,,,,,,,,,,,,,ZGC58
77.021,73.486,63.385,55.211,55.111,60.351,63.240,67.537,67.537,70.301,75.374,75.374,75.374,43.610,30.208,29.004,37.003,45.136,47.762,47.762,42.808,42.808,35.171,30.438,30.438,30.438,28.151,24.698,24.698,21.932,21.932,19.449,19.526,25.544,19.059,13.314,10.735,16.378,8.322,17.868,17.868,16.325,19.138,12.777,6.103,6.103,6.801,6.801,6.801,10.404,15.075,20.555,10.112,10.112,10.112,5.000,5.590,0.000,0.000,,,,,,,,,,,,,,,ZGC59
77.021,73.486,63.385,55.211,55.111,60.351,63.240,67.537,67.537,70.301,75.374,75.374,75.374,43.610,30.208,29.004,37.003,45.136,47.762,47.762,42.808,42.808,35.171,30.438,30.438,30.438,28.151,24.698,24.698,21.932,21.932,19.449,19.526,25.544,19.059,13.314,10.735,16.378,8.322,17.868,17.868,16.325,19.138,12.777,6.103,6.103,6.801,6.801,6.801,10.404,15.075,20.555,10.112,10.112,10.112,5.000,5.590,0.000,0.000,0.000,,,,,,,,,,,,,,ZGC60
75.664,72.128,61.946,53.759,54.332,59.682,62.514,66.910,66.910,69.584,74.673,74.673,74.673,42.068,28.779,28.071,36.125,44.407,47.297,47.297,42.535,42.535,34.946,30.203,30.203,30.203,26.443,22.940,22.940,20.081,20.081,17.847,18.111,24.824,18.439,11.180,8.062,15.033,9.220,17.889,17.889,16.800,19.849,13.454,7.211,7.211,9.487,9.487,9.487,13.038,16.031,22.389,11.045,11.045,11.045,6.500,6.000,2.693,2.693,2.693,0.000,,,,,,,,,,,,,ZGC61
75.664,72.128,61.946,53.759,54.332,59.682,62.514,66.910,66.910,69.584,74.673,74.673,74.673,42.068,28.779,28.071,36.125,44.407,47.297,47.297,42.535,42.535,34.946,30.203,30.203,30.203,26.443,22.940,22.940,20.081,20.081,17.847,18.111,24.824,18.439,11.180,8.062,15.033,9.220,17.889,17.889,16.800,19.849,13.454,7.211,7.211,9.487,9.487,9.487,13.038,16.031,22.389,11.045,11.045,11.045,6.500,6.000,2.693,2.693,2.693,0.000,0.000,,,,,,,,,,,,ZGC62
80.225,76.697,66.390,58.215,59.841,65.307,68.066,72.567,72.567,75.133,80.231,80.231,80.231,46.419,33.500,33.541,41.593,50.010,53.160,53.160,48.572,48.572,41.040,36.308,36.308,36.308,30.647,27.115,27.115,24.130,24.130,22.506,23.087,30.566,24.352,15.033,9.487,20.224,15.556,24.187,24.187,23.200,26.249,19.849,13.454,13.454,13.153,13.153,13.153,15.133,12.083,20.230,7.810,7.810,7.810,6.576,4.123,7.632,7.632,7.632,6.403,6.403,0.000,,,,,,,,,,,ZGC63
80.225,76.697,66.390,58.215,59.841,65.307,68.066,72.567,72.567,75.133,80.231,80.231,80.231,46.419,33.500,33.541,41.593,50.010,53.160,53.160,48.572,48.572,41.040,36.308,36.308,36.308,30.647,27.115,27.115,24.130,24.130,22.506,23.087,30.566,24.352,15.033,9.487,20.224,15.556,24.187,24.187,23.200,26.249,19.849,13.454,13.454,13.153,13.153,13.153,15.133,12.083,20.230,7.810,7.810,7.810,6.576,4.123,7.632,7.632,7.632,6.403,6.403,0.000,0.000,,,,,,,,,,ZGC64
82.389,78.857,68.592,60.407,61.522,66.910,69.721,74.148,74.148,76.792,81.884,81.884,81.884,48.636,35.556,35.228,43.290,51.624,54.571,54.571,49.812,49.812,42.217,37.473,37.473,37.473,32.882,29.347,29.347,26.387,26.387,24.546,25.000,32.066,25.710,17.263,12.083,22.023,15.811,25.080,25.080,23.754,26.627,20.248,13.601,13.601,11.705,11.705,11.705,13.000,9.487,17.414,5.000,5.000,5.000,4.610,2.236,7.500,7.500,7.500,7.280,7.280,2.828,2.828,0.000,,,,,,,,,ZGC65
91.351,87.821,77.535,69.354,70.456,75.802,78.638,83.024,83.024,85.709,90.796,90.796,90.796,57.568,44.545,44.181,52.240,60.531,63.348,63.348,58.457,58.457,50.826,46.090,46.090,46.090,41.800,38.266,38.266,35.288,35.288,33.534,34.000,40.942,34.525,26.173,20.616,31.016,23.770,33.526,33.526,31.847,34.438,28.231,21.541,21.541,17.029,17.029,17.029,15.811,3.000,11.885,5.831,5.831,5.831,10.966,10.198,15.660,15.660,15.660,16.125,16.125,11.180,11.180,9.000,0.000,,,,,,,,ZGC66
91.351,87.821,77.535,69.354,70.456,75.802,78.638,83.024,83.024,85.709,90.796,90.796,90.796,57.568,44.545,44.181,52.240,60.531,63.348,63.348,58.457,58.457,50.826,46.090,46.090,46.090,41.800,38.266,38.266,35.288,35.288,33.534,34.000,40.942,34.525,26.173,20.616,31.016,23.770,33.526,33.526,31.847,34.438,28.231,21.541,21.541,17.029,17.029,17.029,15.811,3.000,11.885,5.831,5.831,5.831,10.966,10.198,15.660,15.660,15.660,16.125,16.125,11.180,11.180,9.000,0.000,0.000,,,,,,,ZGC67
91.351,87.821,77.535,69.354,70.456,75.802,78.638,83.024,83.024,85.709,90.796,90.796,90.796,57.568,44.545,44.181,52.240,60.531,63.348,63.348,58.457,58.457,50.826,46.090,46.090,46.090,41.800,38.266,38.266,35.288,35.288,33.534,34.000,40.942,34.525,26.173,20.616,31.016,23.770,33.526,33.526,31.847,34.438,28.231,21.541,21.541,17.029,17.029,17.029,15.811,3.000,11.885,5.831,5.831,5.831,10.966,10.198,15.660,15.660,15.660,16.125,16.125,11.180,11.180,9.000,0.000,0.000,0.000,,,,,,ZGC68
95.189,91.665,81.337,73.171,74.673,80.062,82.873,87.298,87.298,89.944,95.037,95.037,95.037,61.365,48.500,48.374,56.436,64.777,67.683,67.683,62.843,62.843,55.220,50.480,50.480,50.480,45.599,42.074,42.074,39.080,39.080,37.503,38.053,45.213,38.833,30.017,24.187,35.128,28.231,37.947,37.947,36.308,38.910,32.696,26.000,26.000,21.401,21.401,21.401,19.849,6.403,13.010,10.296,10.296,10.296,15.435,14.560,20.081,20.081,20.081,20.396,20.396,15.000,15.000,13.153,4.472,4.472,4.472,0.000,,,,,ZGC69
95.189,91.665,81.337,73.171,74.673,80.062,82.873,87.298,87.298,89.944,95.037,95.037,95.037,61.365,48.500,48.374,56.436,64.777,67.683,67.683,62.843,62.843,55.220,50.480,50.480,50.480,45.599,42.074,42.074,39.080,39.080,37.503,38.053,45.213,38.833,30.017,24.187,35.128,28.231,37.947,37.947,36.308,38.910,32.696,26.000,26.000,21.401,21.401,21.401,19.849,6.403,13.010,10.296,10.296,10.296,15.435,14.560,20.081,20.081,20.081,20.396,20.396,15.000,15.000,13.153,4.472,4.472,4.472,0.000,0.000,,,,ZGC70
95.189,91.665,81.337,73.171,74.673,80.062,82.873,87.298,87.298,89.944,95.037,95.037,95.037,61.365,48.500,48.374,56.436,64.777,67.683,67.683,62.843,62.843,55.220,50.480,50.480,50.480,45.599,42.074,42.074,39.080,39.080,37.503,38.053,45.213,38.833,30.017,24.187,35.128,28.231,37.947,37.947,36.308,38.910,32.696,26.000,26.000,21.401,21.401,21.401,19.849,6.403,13.010,10.296,10.296,10.296,15.435,14.560,20.081,20.081,20.081,20.396,20.396,15.000,15.000,13.153,4.472,4.472,4.472,0.000,0.000,0.000,,,ZGC71
95.189,91.665,81.337,73.171,74.673,80.062,82.873,87.298,87.298,89.944,95.037,95.037,95.037,61.365,48.500,48.374,56.436,64.777,67.683,67.683,62.843,62.843,55.220,50.480,50.480,50.480,45.599,42.074,42.074,39.080,39.080,37.503,38.053,45.213,38.833,30.017,24.187,35.128,28.231,37.947,37.947,36.308,38.910,32.696,26.000,26.000,21.401,21.401,21.401,19.849,6.403,13.010,10.296,10.296,10.296,15.435,14.560,20.081,20.081,20.081,20.396,20.396,15.000,15.000,13.153,4.472,4.472,4.472,0.000,0.000,0.000,0.000,,ZGC72
95.005,91.501,81.109,73.000,75.505,81.025,83.744,88.295,88.295,90.802,95.901,95.901,95.901,61.202,48.757,49.244,57.271,65.734,68.964,68.964,64.376,64.376,56.826,52.089,52.089,52.089,45.544,42.074,42.074,39.080,39.080,37.901,38.639,46.360,40.162,30.265,24.083,35.903,30.529,39.812,39.812,38.513,41.340,34.986,28.302,28.302,24.759,24.759,24.759,23.854,10.770,18.007,13.454,13.454,13.454,18.118,16.643,22.209,22.209,22.209,21.932,21.932,15.811,15.811,14.765,8.062,8.062,8.062,5.000,5.000,5.000,5.000,0.000,ZGC73